iter	Passed	Remaining
899	1472	163
900	1474	161
901	1475	160
902	1476	158
903	1477	156
904	1478	155
905	1479	153
906	1480	151
907	1481	150
908	1483	148
909	1484	146
910	1485	145
911	1486	143
912	1487	141
913	1488	140
914	1490	138
915	1491	136
916	1492	135
917	1493	133
918	1495	131
919	1496	130
920	1497	128
921	1498	126
922	1499	125
923	1501	123
924	1502	121
925	1503	120
926	1504	118
927	1505	116
928	1506	115
929	1508	113
930	1509	111
931	1510	110
932	1511	108
933	1512	106
934	1513	105
935	1514	103
936	1515	101
937	1516	100
938	1518	98
939	1519	96
940	1520	95
941	1522	93
942	1523	92
943	1524	90
944	1525	88
945	1527	87
946	1528	85
947	1529	83
948	1531	82
949	1532	80
950	1533	79
951	1535	77
952	1536	75
953	1537	74
954	1539	72
955	1540	70
956	1542	69
957	1543	67
958	1544	66
959	1545	64
960	1546	62
961	1548	61
962	1549	59
963	1550	57
964	1552	56
965	1553	54
966	1554	53
967	1556	51
968	1557	49
969	1559	48
970	1560	46
971	1562	44
972	1563	43
973	1564	41
974	1566	40
975	1567	38
976	1568	36
977	1570	35
978	1571	33
979	1572	32
980	1573	30
981	1575	28
982	1576	27
983	1578	25
984	1579	24
985	1581	22
986	1582	20
987	1587	19
988	1588	17
989	1590	16
990	1591	14
991	1592	12
992	1593	11
993	1595	9
994	1599	8
995	1601	6
996	1602	4
997	1603	3
998	1604	1
999	1606	0
